loc,avg_s,edugini,income,edu_con,rural_pct,cluster,lv2n,2-May,virt_pct,virt_h,virt_con,income1,educon1,lv2n1,pavg_s,v20,pavg_20,edu20
北京,12.59126883,0.129235907,62361.2158,3999.4031,13.5,1,970,0.094845361,0.156153846,0.1752,0.027358154,6.23612158,0.39994031,0.097,11.4196617,0.227692308,11.88457824,0.143488853
天津,10.97748965,0.147676799,39506.1469,3186.6002,16.85,1,879,0.06370876,0.156153846,0.0157,0.002451615,3.95061469,0.31866002,0.0879,11.13343818,0.227692308,11.25440245,0.15117348
河北,9.037176539,0.135447862,23445.6533,1734.4618,43.57,0,11545,0.010567345,0.156153846,0.0164,0.002560923,2.34456533,0.17344618,1.1545,8.850485225,0.227692308,9.099757155,0.15034976
山西,9.729445507,0.13288718,21990.1376,1940.0389,41.59,0,5445,0.015243343,0.156153846,0.015,0.002342308,2.19901376,0.19400389,0.5445,9.01965614,0.227692308,9.261892656,0.14835618
内蒙古,9.590280732,0.171812014,28375.6543,2245.3731,37.29,0,1655,0.032024169,0.156153846,0.0098,0.001530308,2.83756543,0.22453731,0.1655,9.387047522,0.227692308,9.297406688,0.157436292
辽宁,9.85792516,0.128149189,29701.4478,2707.9861,31.9,0,3280,0.035060976,0.156153846,0.023,0.003591538,2.97014478,0.27079861,0.328,9.847568346,0.227692308,9.400861699,0.149024902
吉林,9.372803816,0.13385992,22798.3716,2193.3848,42.47,0,3871,0.016016533,0.156153846,0.007,0.001093077,2.27983716,0.21933848,0.3871,8.944469067,0.227692308,9.255523145,0.14980623
黑龙江,9.461474788,0.12944707,22725.8489,2030.2561,39.9,0,1469,0.055139551,0.156153846,0.0105,0.001639615,2.27258489,0.20302561,0.1469,9.164049497,0.227692308,9.315656422,0.148073316
上海,11.18422395,0.151535743,64182.6453,5049.4028,11.9,1,721,0.088765603,0.156153846,0.1029,0.016068231,6.41826453,0.50494028,0.0721,11.55636547,0.227692308,11.37804208,0.156547629
江苏,9.226862226,0.166142984,38095.7933,2582.5761,30.39,0,4103,0.040701925,0.156153846,0.0673,0.010509154,3.80957933,0.25825761,0.4103,9.976582529,0.227692308,9.317522833,0.159113311
浙江,9.133217546,0.168639951,45839.8433,3031.2802,31.1,0,3301,0.032717358,0.156153846,0.067,0.010462308,4.58398433,0.30312802,0.3301,9.915920231,0.227692308,9.327353014,0.155336923
安徽,8.766042058,0.164410393,23983.5832,1810.3816,45.31,0,7908,0.015048053,0.156153846,0.0258,0.004028769,2.39835832,0.18103816,0.7908,8.701819876,0.227692308,8.733734722,0.15543898
福建,8.789878831,0.171541685,32643.9307,2194.0116,34.18,0,5189,0.017151667,0.156153846,0.0227,0.003544692,3.26439307,0.21940116,0.5189,9.652765474,0.227692308,9.237667305,0.158715952
江西,8.824035469,0.135095534,24079.678,1812.9655,43.98,0,7578,0.013460016,0.156153846,0.0077,0.001202385,2.4079678,0.18129655,0.7578,8.815454884,0.227692308,9.010458689,0.14744711
山东,8.823856415,0.167083932,29204.6149,2174.3817,38.82,0,9674,0.014988629,0.156153846,0.0502,0.007838923,2.92046149,0.21743817,0.9674,9.256324542,0.227692308,9.280017336,0.155543568
河南,8.864995621,0.131721872,21963.5356,1769.1036,48.29,0,18622,0.00746429,0.156153846,0.0164,0.002560923,2.19635356,0.17691036,1.8622,8.447209104,0.227692308,8.737152377,0.143638926
湖北,9.391314488,0.161338594,25814.5428,2187.4716,39.7,0,5396,0.023721275,0.156153846,0.0373,0.005824538,2.58145428,0.21874716,0.5396,9.181137468,0.227692308,9.310177653,0.159508313
湖南,9.263165269,0.13369125,25240.7492,2786.1988,43.98,0,7335,0.016905249,0.156153846,0.0171,0.002670231,2.52407492,0.27861988,0.7335,8.815454884,0.227692308,9.010458689,0.142238579
广东,9.467822674,0.130487673,35809.9008,2750.8932,29.3,0,10308,0.014745828,0.156153846,0.1336,0.020862154,3.58099008,0.27508932,1.0308,10.06971197,0.227692308,9.326832977,0.13761068
广西,8.558166321,0.113646602,21485.0277,1798.908,49.78,0,8054,0.009312143,0.156153846,0.094,0.014678462,2.14850277,0.1798908,0.8054,8.319903719,0.227692308,8.720579069,0.132710949
海南,9.658688078,0.149276756,24579.0389,2185.4531,40.94,0,1377,0.014524328,0.156153846,0.0056,0.000874462,2.45790389,0.21854531,0.1377,9.075192047,0.227692308,9.276203518,0.152808934
四川,8.529209342,0.177400458,22460.5507,1599.7151,47.71,0,5730,0.020767888,0.156153846,0.0509,0.007948231,2.24605507,0.15997151,0.573,8.496764221,0.227692308,8.68193969,0.176716224
贵州,7.94595012,0.172515814,18430.1825,1660.0487,52.48,0,6951,0.010358222,0.156153846,0.0202,0.003154308,1.84301825,0.16600487,0.6951,8.089216107,0.227692308,8.09683496,0.178690425
云南,8.09346834,0.164716665,20084.1919,1772.6787,52.19,0,10900,0.007247706,0.156153846,0.0112,0.001748923,2.00841919,0.17726787,1.09,8.113993666,0.227692308,8.199237022,0.156107251
西藏,5.690656064,0.297416896,17286.0626,609.2555,68.86,2,809,0.008652658,0.156153846,0.0021,0.000327923,1.72860626,0.06092555,0.0809,6.689711264,0.227692308,6.420341178,0.267705933
陕西,9.442078067,0.166817528,22528.2553,2008.7739,41.87,0,4714,0.020152737,0.156153846,0.0244,0.003810154,2.25282553,0.20087739,0.4714,8.995732981,0.227692308,9.257859579,0.158161167
甘肃,8.330947565,0.196826054,17488.3934,1710.2921,52.31,0,5785,0.008470182,0.156153846,0.0094,0.001467846,1.74883934,0.17102921,0.5785,8.103740883,0.227692308,8.217901559,0.18850133
青海,8.160228571,0.214992323,20757.2559,1655.626,45.53,0,731,0.016415869,0.156153846,0.0035,0.000546538,2.07572559,0.1655626,0.0731,8.683023107,0.227692308,8.642709515,0.203685915
宁夏,8.612081076,0.187344526,22400.4199,2139.516,41.12,0,1250,0.0152,0.156153846,0.0017,0.000265462,2.24004199,0.2139516,0.125,9.059812873,0.227692308,9.147123989,0.187319239
