,2017,2018
北京,3916.7153,3999.4031
天津,2691.5226,3186.6002
河北,1578.2936,1734.4618
山西,1879.2543,1940.0389
内蒙古,2227.7956,2245.3731
辽宁,2534.5214,2707.9861
吉林,1928.5131,2193.3848
黑龙江,1897.9886,2030.2561
上海,4685.9234,5049.4028
江苏,2747.5947,2582.5761
浙江,2844.912,3031.2802
安徽,1700.5078,1810.3816
福建,1966.437,2194.0116
江西,1606.7941,1812.9655
山东,1948.4425,2174.3817
河南,1559.7936,1769.1036
湖北,1930.449,2187.4716
湖南,2805.0679,2786.1988
广东,2620.3683,2750.8932
广西,1585.8394,1798.908
海南,1756.7985,2185.4531
重庆,1993.0359,2087.7703
四川,1468.168,1599.7151
贵州,1783.3468,1660.0487
云南,1573.6668,1772.6787
西藏,441.5872,609.2555
陕西,1857.6369,2008.7739
甘肃,1537.1251,1710.2921
青海,1686.6276,1655.626
宁夏,1955.5862,2139.516
新疆,1599.2891,1762.4979
